# Trino function catalog — SHOW FUNCTIONS over a live coordinator.
# Regenerate: ./gradlew harvestFunctionCatalog -Ptrino.harvest.url=...  (then commit)
# engine: Trino 483 | harvested: 2026-07-23
# rows: 442 (aggregate=57 scalar=372 table=2 window=11) | distinct names: 441 | raw SHOW FUNCTIONS rows: 900
# format: name<TAB>kind<TAB>return_type ; kind = lowercased "Function Type"; deduped by (name,kind), min return_type; sorted.
multimap_agg	aggregate	map(K,array(V))
multimap_from_entries	scalar	map(K,array(V))
murmur3	scalar	varbinary
nan	scalar	double
ngrams	scalar	array(array(T))
none_match	scalar	boolean
normal_cdf	scalar	double
normalize	scalar	varchar
now	scalar	timestamp(3) with time zone
nth_value	window	T
ntile	window	bigint
numeric_histogram	aggregate	map(double,double)
objectid	scalar	objectid
objectid_timestamp	scalar	timestamp(3) with time zone
parse_data_size	scalar	decimal(38,0)
parse_datetime	scalar	timestamp(3) with time zone
parse_duration	scalar	interval day to second
parse_presto_data_size	scalar	decimal(38,0)
percent_rank	window	double
pi	scalar	double
pow	scalar	double
power	scalar	double
qdigest_agg	aggregate	qdigest(bigint)
quantile_at_value	scalar	double
quarter	scalar	bigint
radians	scalar	double
rand	scalar	bigint
random	scalar	bigint
rank	window	bigint
reduce	scalar	R
reduce_agg	aggregate	S
regexp_count	scalar	bigint
regexp_extract	scalar	varchar(x)
regexp_extract_all	scalar	array(varchar(x))
regexp_like	scalar	boolean
regexp_position	scalar	integer
regexp_replace	scalar	varchar
regexp_split	scalar	array(varchar(x))
regr_intercept	aggregate	double
regr_slope	aggregate	double
regress	scalar	double
render	scalar	varchar(16)
repeat	scalar	array(T)
replace	scalar	varchar(u)
reverse	scalar	array(E)
rgb	scalar	color
round	scalar	bigint
row_number	window	bigint
rpad	scalar	varbinary
rtrim	scalar	varchar(x)
second	scalar	bigint
sequence	scalar	array(bigint)
sequence	table	unknown
sha1	scalar	varbinary
sha256	scalar	varbinary
sha512	scalar	varbinary
shuffle	scalar	array(E)
sign	scalar	bigint
simplify_geometry	scalar	geometry
sin	scalar	double
sinh	scalar	double
skewness	aggregate	double
slice	scalar	array(E)
soundex	scalar	varchar(4)
spatial_partitioning	aggregate	varchar
spatial_partitions	scalar	array(integer)
split	scalar	array(varchar(x))
split_part	scalar	varchar(x)
split_to_map	scalar	map(varchar,varchar)
split_to_multimap	scalar	map(varchar,array(varchar))
spooky_hash_v2_32	scalar	varbinary
spooky_hash_v2_64	scalar	varbinary
sqrt	scalar	double
starts_with	scalar	boolean
stddev	aggregate	double
stddev_pop	aggregate	double
stddev_samp	aggregate	double
strpos	scalar	bigint
substr	scalar	varbinary
substring	scalar	varchar(x)
sum	aggregate	bigint
t_cdf	scalar	double
t_pdf	scalar	double
tan	scalar	double
tanh	scalar	double
tdigest_agg	aggregate	tdigest
timestamp_objectid	scalar	objectid
timezone	scalar	varchar
timezone_hour	scalar	bigint
timezone_minute	scalar	bigint
title_case	scalar	char(x)
to_base	scalar	varchar(64)
to_base32	scalar	varchar
to_base64	scalar	varchar
